model,fold,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,unweighted_threshold,repeat
V0,1,5780,0.975,0.29213483146067415,0.9828277277542373,0.8592727088721344,156,378,4,9062,0.03666666666666667,0.0007606666205656594,0
V0,2,6420,0.9625,0.31048387096774194,0.9842230534957628,0.8188414510732305,154,342,6,9098,0.03666666666666667,0.0007606666205656594,0
V0,3,7990,0.93125,0.3743718592964824,0.9934384931144068,0.8187529342867881,149,249,11,9191,0.04666666666666667,0.0009780634343998884,0
V0,4,6850,0.95,0.34782608695652173,0.9819998013771188,0.8526054301014512,152,285,8,9155,0.04,0.0008326394671107411,0
V0,5,7630,0.94375,0.3254310344827586,0.9904091631355931,0.819086143156896,151,313,9,9127,0.04666666666666667,0.0009780634343998884,0
V0,1,6970,0.9625,0.279491833030853,0.9917842955508476,0.8493252182570954,154,397,6,9043,0.03333333333333333,0.0006891798759476223,1
V0,2,8410,0.93125,0.3386363636363636,0.9760735566737289,0.7851026759706429,149,291,11,9149,0.043333333333333335,0.0009051033906565481,1
V0,3,9250,0.925,0.3128964059196617,0.9763983050847457,0.7920859522181652,148,325,12,9115,0.04666666666666667,0.0009780634343998884,1
V0,4,5020,0.98125,0.30844793713163066,0.9933951271186441,0.8666068024261265,157,352,3,9088,0.03666666666666667,0.0007606666205656594,1
V0,5,9040,0.93125,0.2962226640159046,0.9718852621822034,0.7865765680833081,149,354,11,9086,0.03,0.000618174325159695,1
V0,1,5370,0.98125,0.28860294117647056,0.9913390492584745,0.8308975494375961,157,387,3,9053,0.03,0.000618174325159695,2
V0,2,6390,0.95625,0.34615384615384615,0.9879323358050849,0.8252674822546091,153,289,7,9151,0.043333333333333335,0.0009051033906565481,2
V0,3,8350,0.94375,0.28171641791044777,0.9708530852754238,0.8390857399589651,151,385,9,9055,0.03333333333333333,0.0006891798759476223,2
V0,4,6990,0.94375,0.3775,0.9949695444915254,0.8486868071313102,151,249,9,9191,0.05333333333333334,0.0011254924029262803,2
V0,5,8050,0.94375,0.2984189723320158,0.9768200476694916,0.8031251793591918,151,355,9,9085,0.04,0.0008326394671107411,2
V0,1,7560,0.94375,0.3304157549234136,0.9834547139830508,0.8453069440652914,151,306,9,9134,0.04,0.0008326394671107411,3
V0,2,7170,0.95,0.32409381663113007,0.9877168299788136,0.8406649039791236,152,317,8,9123,0.03666666666666667,0.0007606666205656594,3
V0,3,7130,0.95625,0.29651162790697677,0.9810768670550847,0.8384145115614132,153,363,7,9077,0.03666666666666667,0.0007606666205656594,3
V0,4,6660,0.95625,0.326226012793177,0.9841184454449152,0.8034746450212217,153,316,7,9124,0.043333333333333335,0.0009051033906565481,3
